Recipe Title,Region,Country,Servings,Calories (KCal),Protein (g),Fat (g),More Info,primary_key
Curried Celery,Indian Subcontinent,Indian,8,700.25,15.18,35.88,more info,1183
Samosas,Indian Subcontinent,Indian,30,1314.5,73.43,89.19,more info,1184
Indian Spiced Onions,Indian Subcontinent,Indian,4,121.57,2.14,0.55,more info,1185
Spicy Peach Chutney,Indian Subcontinent,Indian,96,4776.58,30.54,10.74,more info,1186
Indian Onion Dipping Sauce,Indian Subcontinent,Indian,10,72.91,1.94,0.37,more info,1187
Lentil Samosas,Indian Subcontinent,Indian,8,1339.38,23.44,60.24,more info,1188
Sago Sabudana Khichdi,Indian Subcontinent,Indian,2,393.78,16.57,15.32,more info,1189
Beef Samosas,Indian Subcontinent,Indian,18,1356.65,96.71,86.73,more info,1190
Mango-Pineapple Chutney,Indian Subcontinent,Indian,24,743.17,3.13,28.67,more info,1191
Cauliflower Fritters,Indian Subcontinent,Indian,12,1340.66,28.65,128.72,more info,1192
Crispy Vegetable Pakoras,Indian Subcontinent,Indian,6,504.14,24.93,6.9,more info,1193
Microwave Khandvi,Indian Subcontinent,Indian,5,519.28,21.41,20.47,more info,1194
Stuffed Okra,Indian Subcontinent,Indian,4,297.45,11.66,5.03,more info,1195
Peanut Chaat,Indian Subcontinent,Indian,4,3251.71,147.06,270.67,more info,1196
Kachori With Fresh Peas,Indian Subcontinent,Indian,4,391.96,14.55,14.04,more info,1197
Layered Chutney Dip,Indian Subcontinent,Indian,8,420.4,6.57,33.33,more info,1198
Chaat - Dahi Batata Puri,Indian Subcontinent,Indian,4,725.33,39.07,22.57,more info,1199
Yogurt Samosas,Indian Subcontinent,Indian,18,5818.97,15.42,634.78,more info,1200
Mini Sweet Potato Samosas,Indian Subcontinent,Indian,4,37.65,1.36,2.89,more info,1201
Potato Bonda (Spicy Potato Balls),Indian Subcontinent,Indian,8,1033.63,32.21,34.87,more info,1202
Brussels Sprout Pakora,Indian Subcontinent,Indian,4,495.29,23.68,8.06,more info,1203
Baked Sweet Potato Vegetable Samosas,Indian Subcontinent,Indian,8,1191.97,28.85,55.97,more info,1204
Bombay Chicken Wings,Indian Subcontinent,Indian,6,21068.2,1910.83,1426.68,more info,1205
Bhel Puri,Indian Subcontinent,Indian,4,1762.61,32.1,34.36,more info,1206
South Indian-Style Okra Fritters,Indian Subcontinent,Indian,5,4173.43,12.12,450.57,more info,1207
Hyderabadi Nargisi Kofta,Indian Subcontinent,Indian,8,1730.25,108.29,129.11,more info,1208
Spicy Potato Noodles (Bataka Sev),Indian Subcontinent,Indian,8,1959.51,82.93,59.23,more info,1209
Creamy Curry Sauce,Indian Subcontinent,Indian,30,3457.57,43.16,334.51,more info,1210
Elijah's Phulourie,Indian Subcontinent,Indian,36,3811.89,1.88,436.68,more info,1211
Indian Corn Pakoda,Indian Subcontinent,Indian,6,516.27,20.83,5.19,more info,1212
Curried Mango Chutney Dip,Indian Subcontinent,Indian,16,260.64,11.18,10.68,more info,1213
Curry Dip,Indian Subcontinent,Indian,16,1685.75,2.05,185.81,more info,1214
Indian-Spiced Roasted Chickpeas,Indian Subcontinent,Indian,4,1780.64,82.63,52.08,more info,1215
Green Chutney,Indian Subcontinent,Indian,4,67.71,2.76,4.62,more info,1216
Keema (Indian-Style Ground Meat),Indian Subcontinent,Indian,4,1920.24,119.99,147.58,more info,1217
Punjabi Lamb Korma with Onion Cilantro Salad,Indian Subcontinent,Indian,6,2661.65,86.97,233.92,more info,1218
Seitan Makhani (Vegan-Style Indian Butter Chicken),Indian Subcontinent,Indian,6,426.59,10.77,16.25,more info,1219
Indian Pot Roast,Indian Subcontinent,Indian,12,369.95,8.94,16.24,more info,1220
Rob's Lamb Curry Pie,Indian Subcontinent,Indian,8,1769.77,27.46,152.9,more info,1221
Keema Matar,Indian Subcontinent,Indian,4,1464.75,87.75,103.58,more info,1222
Curried Pork Chops and Cauliflower with Basmati Rice,Indian Subcontinent,Indian,4,3487.62,117.35,29.64,more info,1223
Garam Masala Seared Salmon with Coconut-Curry Butter,Indian Subcontinent,Indian,8,898.74,5.33,96.98,more info,1224
Basic Indian Curry with Paneer,Indian Subcontinent,Indian,4,1036.25,39.69,66.16,more info,1225
Machhere Jhol (Bengali Fish Curry),Indian Subcontinent,Indian,4,1044.55,184.93,20.59,more info,1226
Kheema Matar (Beef and Pea Curry),Indian Subcontinent,Indian,4,1160.63,100.64,61.66,more info,1227
Lamb Madras Curry,Indian Subcontinent,Indian,8,4511.18,186.82,382.39,more info,1228
Kedgeree,Indian Subcontinent,Indian,2,648.47,50.66,30.94,more info,1229
Egg and Potato Curry,Indian Subcontinent,Indian,2,1055.93,48.21,72.31,more info,1230
Green Curry with Sweet Potato and Aubergine (Eggplant),Indian Subcontinent,Indian,5,1041.26,11.12,99.93,more info,1231
Shami Kabab (Bun Kabab),Indian Subcontinent,Indian,12,2535.42,193.25,181.8,more info,1232
Delicious Chickpea Curry,Indian Subcontinent,Indian,6,3570.65,136.53,95.54,more info,1233
Spicy Lentil Quinoa Curry,Indian Subcontinent,Indian,4,1104.96,36.21,42.11,more info,1234
Egg Kulambu,Indian Subcontinent,Indian,8,831.75,58.48,46.54,more info,1235
Goan Pork Vindaloo,Indian Subcontinent,Indian,8,1627.18,189.73,61.97,more info,1236
Butter Lamb Gravy,Indian Subcontinent,Indian,6,2744.31,162.97,220.63,more info,1237
Keerti's Karwari Prawns,Indian Subcontinent,Indian,5,1011.9,72.1,69.81,more info,1238
Mild Curry Omelet,Indian Subcontinent,Indian,1,287.84,13.42,23.63,more info,1239
Easy Indian Curried Lamb,Indian Subcontinent,Indian,4,1130.29,97.39,67.42,more info,1240
Aloo Gobi Masala (Cauliflower and Potato Curry),Indian Subcontinent,Indian,4,278.13,6.35,15.3,more info,1241
Grilled Italian Burgers,Indian Subcontinent,Indian,4,1315.23,115.19,83.63,more info,1242
Indian Pork Chops,Indian Subcontinent,Indian,4,3632.96,108.34,49.06,more info,1243
Samosa Pot Pie,Indian Subcontinent,Indian,8,2036.72,44.17,127.67,more info,1244
Red Split Lentils (Masoor Dal),Indian Subcontinent,Indian,6,953.84,52.55,19.36,more info,1245
Bangalore Cornish Hens,Indian Subcontinent,Indian,4,864.7,24.59,50.19,more info,1246
Lamb Shoulder Vindaloo,Indian Subcontinent,Indian,4,523.78,89.84,15.78,more info,1247
Phaal,Indian Subcontinent,Indian,5,3012.14,174.28,228.17,more info,1248
Quick Vegetable Curry,Indian Subcontinent,Indian,6,2682.94,95.96,136.74,more info,1249
Prawns Curry,Indian Subcontinent,Indian,6,1052.28,105.69,16.12,more info,1250
Pork Chops with Sweet Tomato Chutney,Indian Subcontinent,Indian,4,4067.89,728.7,48.8,more info,1251
Chana Masala (Savory Indian Chick Peas),Indian Subcontinent,Indian,2,1670.36,67.96,60.54,more info,1252
Cholay (Curried Chickpeas),Indian Subcontinent,Indian,6,2715.25,131.6,65.85,more info,1253
Sweet Lamb Curry,Indian Subcontinent,Indian,6,5698.25,294.76,421.49,more info,1254
Coconut Tofu Keema,Indian Subcontinent,Indian,10,1925.78,57.41,162.88,more info,1255
Naan Bread Margherita Pizza with Prosciutto,Indian Subcontinent,Indian,2,140.89,4.97,9.86,more info,1256
Spicy Swordfish,Indian Subcontinent,Indian,4,1381.81,98.09,88.81,more info,1257
Chickpea Curry,Indian Subcontinent,Indian,8,2707.99,128.92,66.71,more info,1258
Beef Vindaloo,Indian Subcontinent,Indian,6,1918.04,197.09,111.12,more info,1259
Baingan Bharta (Eggplant Curry),Indian Subcontinent,Indian,4,421.74,8.7,33.08,more info,1260
Spiced Sweet Potato Dahl,Indian Subcontinent,Indian,6,2388.51,125.56,58.38,more info,1261
Navratan Korma,Indian Subcontinent,Indian,4,1021.91,27.76,60.65,more info,1262
Easy Meat Samosas,Indian Subcontinent,Indian,4,2251.91,77.64,138.34,more info,1263
Best Burgers Ever,Indian Subcontinent,Indian,4,1232.9,78.48,99.37,more info,1264
Tofu Keema,Indian Subcontinent,Indian,4,511.95,7.02,42.53,more info,1265
Sweet and Spicy Curry with Chickpeas,Indian Subcontinent,Indian,6,3272.46,272.59,130.46,more info,1266
Curried Mushroom Hot Pot,Indian Subcontinent,Indian,4,1095.13,21.64,90.35,more info,1267
Palak Paneer (Spinach Curry),Indian Subcontinent,Indian,2,805.02,42.26,40.2,more info,1268
Coconut Curry Fish,Indian Subcontinent,Indian,6,2088.89,114.4,108.89,more info,1269
Lamb Meatballs Over Tandoori Naan,Indian Subcontinent,Indian,4,2256.94,139.93,173.86,more info,1270
Black Pepper Goat Curry,Indian Subcontinent,Indian,4,1133.54,105.27,56.04,more info,1271
Indian-Style Salmon Fry,Indian Subcontinent,Indian,2,412.94,7.89,28.39,more info,1272
Indian-Style Scrambled Eggs,Indian Subcontinent,Indian,2,389.2,13.76,35.29,more info,1273
Aarsi's Tofu Curry,Indian Subcontinent,Indian,4,494.85,20.91,17.14,more info,1274
Spicy Baked Cod Fillets,Indian Subcontinent,Indian,5,2569.34,463.96,55.08,more info,1275
Kashmiri Lamb,Indian Subcontinent,Indian,6,42313.29,170.63,4671.07,more info,1276
Fettuccine Bombay,Indian Subcontinent,Indian,4,2377.84,213.76,134.71,more info,1277
Indian Style Shrimp Fry,Indian Subcontinent,Indian,4,740.65,95.96,31.7,more info,1278
"Grilled Lamb Chops with Curry, Apple and Raisin Sauce",Indian Subcontinent,Indian,6,1344.89,25.24,48.08,more info,1279
Delightful Indian Coconut Vegetarian Curry in the Slow Cooker,Indian Subcontinent,Indian,8,1481.48,26.79,130.32,more info,1280
Prawns in Cashew Coconut Curry Sauce,Indian Subcontinent,Indian,8,1854.02,213.27,108.98,more info,1281
Rajma (Kidney Bean Curry),Indian Subcontinent,Indian,8,1683.96,97.86,31.79,more info,1282
Spicy Shrimp (Chingri Maach),Indian Subcontinent,Indian,4,793.6,96.83,30.34,more info,1283
Egg Bhurji,Indian Subcontinent,Indian,2,659.51,13.95,64.5,more info,1284
Turkey Curry,Indian Subcontinent,Indian,6,960.47,100.35,53.0,more info,1285
Easy Healthy Egg Kulambu,Indian Subcontinent,Indian,8,948.45,11.12,86.72,more info,1286
Madras Crab Curry,Indian Subcontinent,Indian,6,851.1,9.31,60.91,more info,1287
Fish in Ginger-Tamarind Sauce,Indian Subcontinent,Indian,4,315.91,48.64,3.89,more info,1288
Curried Beef with Winter Vegetables,Indian Subcontinent,Indian,8,1550.43,64.54,54.34,more info,1289
Kheema Malai Kofta,Indian Subcontinent,Indian,6,1655.48,115.58,87.17,more info,1290
Sambar - Spicy Indian Curry,Indian Subcontinent,Indian,4,266.74,4.03,18.85,more info,1291
Cod Curry,Indian Subcontinent,Indian,4,778.05,95.41,31.85,more info,1292
Chutney Eggs,Indian Subcontinent,Indian,24,1841.23,96.72,155.33,more info,1293
Channa Masala (Chickpea Curry),Indian Subcontinent,Indian,4,2581.22,129.7,51.66,more info,1294
Kebab Massalam,Indian Subcontinent,Indian,5,1340.56,81.2,100.97,more info,1295
Spicy Vegan Potato Curry,Indian Subcontinent,Indian,6,2425.14,80.24,134.56,more info,1296
Prawn Malai Curry,Indian Subcontinent,Indian,4,1290.71,98.24,87.93,more info,1297
Indian Shrimp Curry,Indian Subcontinent,Indian,4,1563.21,103.8,116.58,more info,1298
Lamb Shank Vindaloo,Indian Subcontinent,Indian,4,2313.83,364.55,65.58,more info,1299
Vegetarian Splendor Chickpea Curry,Indian Subcontinent,Indian,4,1652.8,75.5,49.55,more info,1300
"Rogan Josh, Lamb Shanks",Indian Subcontinent,Indian,2,1785.18,280.21,39.16,more info,1301
Yogurt-Marinated Salmon Fillets (Dahi Machhali Masaledar),Indian Subcontinent,Indian,4,1824.14,370.11,18.96,more info,1302
Egg Curry,Indian Subcontinent,Indian,2,358.04,4.17,29.1,more info,1303
Quorn™ and Chickpea Curry,Indian Subcontinent,Indian,4,1658.11,72.31,50.8,more info,1304
Indian Fish Curry,Indian Subcontinent,Indian,4,2049.58,365.2,39.94,more info,1305
Potato Curry,Indian Subcontinent,Indian,4,258.29,14.99,9.75,more info,1306
Curried Scallops with Angel Hair Pasta,Indian Subcontinent,Indian,2,482.98,52.06,17.12,more info,1307
Culture-Blend Spaghetti,Indian Subcontinent,Indian,8,297.06,11.36,13.55,more info,1308
Raisin and Olive Fettuccine,Indian Subcontinent,Indian,2,422.92,27.92,22.01,more info,1309
Tamarind Sauce Fish Curry,Indian Subcontinent,Indian,6,1500.16,183.84,71.62,more info,1310
Kochi Panthar Jhol (Goat Curry),Indian Subcontinent,Indian,5,2307.87,312.03,78.24,more info,1311
Vegan Japanese Turnip Curry,Indian Subcontinent,Indian,2,174.26,4.97,10.19,more info,1312
Curried Lamb,Indian Subcontinent,Indian,6,3316.58,169.9,261.0,more info,1313
Pressure Cooker Goat Curry,Indian Subcontinent,Indian,8,2346.98,316.43,91.19,more info,1314
Super Easy Samosa Pie,Indian Subcontinent,Indian,8,49.23,3.16,0.43,more info,1315
Bhindi Masala (Spicy Okra Curry),Indian Subcontinent,Indian,4,410.13,14.07,16.06,more info,1316
Butternut Squash Coconut Curry,Indian Subcontinent,Indian,4,1086.63,11.69,100.28,more info,1317
Indian Pizza,Indian Subcontinent,Indian,4,1181.02,23.2,108.81,more info,1318
Paneer Tikka Sandwich,Indian Subcontinent,Indian,1,677.94,50.65,36.74,more info,1319
Authentic and Easy Shrimp Curry,Indian Subcontinent,Indian,5,1350.71,186.22,60.08,more info,1320
Keema Aloo (Ground Beef and Potatoes),Indian Subcontinent,Indian,8,1287.89,221.67,27.56,more info,1321
Mangalore Mutton Curry,Indian Subcontinent,Indian,6,2166.97,94.49,140.23,more info,1322
Absolutely Perfect Palak Paneer,Indian Subcontinent,Indian,4,1865.1,64.22,149.84,more info,1323
Gobi Masala (Cauliflower Curry),Indian Subcontinent,Indian,4,420.79,5.66,41.67,more info,1324
Goan Prawn Pulao,Indian Subcontinent,Indian,6,725.44,50.15,41.53,more info,1325
Lamb Korma,Indian Subcontinent,Indian,6,3946.73,199.92,287.38,more info,1326
"Bell Pepper, Tomato, and Potato Indian Curry",Indian Subcontinent,Indian,2,365.21,8.95,22.67,more info,1327
Vegetarian Chickpea Curry with Turnips,Indian Subcontinent,Indian,4,1661.57,70.62,50.32,more info,1328
Indian Mustard Fish,Indian Subcontinent,Indian,6,2269.63,199.91,121.65,more info,1329
Pomfret Macher Jhaal (Pomfret Fish Curry),Indian Subcontinent,Indian,4,806.35,10.82,80.07,more info,1330
Pumpkin Curry with Lentils and Apples,Indian Subcontinent,Indian,6,1302.37,62.0,23.09,more info,1331
Beef and Spinach Curry,Indian Subcontinent,Indian,4,2187.73,141.95,163.99,more info,1332
Pork Vindaloo,Indian Subcontinent,Indian,6,2385.16,76.19,208.15,more info,1333
Red Lentil Curry,Indian Subcontinent,Indian,8,1931.66,109.17,25.67,more info,1334
Easy Chickpea Curry,Indian Subcontinent,Indian,4,2799.86,82.23,175.69,more info,1335
Seared Salmon with Indian-Inspired Cream Sauce,Indian Subcontinent,Indian,4,807.33,33.75,56.63,more info,1336
Indian Curry Couscous with Broccoli and Edamame,Indian Subcontinent,Indian,3,1420.62,83.1,54.99,more info,1337
Masala Beef with Ginger and Curry Leaf,Indian Subcontinent,Indian,6,3483.17,185.91,275.21,more info,1338
Vegetarian Korma,Indian Subcontinent,Indian,4,1005.63,19.5,67.18,more info,1339
"Pumpkin, Butter Bean, and Spinach Curry",Indian Subcontinent,Indian,4,1426.1,14.62,140.76,more info,1340
Bhuna Gosht,Indian Subcontinent,Indian,6,1331.36,197.64,7.14,more info,1341
Tandoori Fish,Indian Subcontinent,Indian,6,1840.17,182.71,116.77,more info,1342
Spicy Banana Curry,Indian Subcontinent,Indian,4,1386.24,41.66,48.01,more info,1343
Indian Egg Curry,Indian Subcontinent,Indian,4,327.92,10.76,12.49,more info,1344
Tofu Vindaloo,Indian Subcontinent,Indian,6,3283.75,132.62,173.8,more info,1345
Broken Thermostat Curry,Indian Subcontinent,Indian,6,360.35,8.7,16.14,more info,1346
Indian Style Sheekh Kabab,Indian Subcontinent,Indian,8,3067.02,158.88,253.2,more info,1347
Indian Samosa Pie,Indian Subcontinent,Indian,6,1040.31,24.67,33.61,more info,1348
Palak Paneer (Curried Spinach),Indian Subcontinent,Indian,4,1117.49,55.34,82.29,more info,1349
Paleo Slow Cooker Pork Loin,Indian Subcontinent,Indian,8,1710.25,200.19,71.03,more info,1350
Curried Short Ribs - Nontraditional Nihari,Indian Subcontinent,Indian,8,6185.14,415.3,477.43,more info,1351
Indian Stir-Fried Shrimp in Cream Sauce (Bhagari Jhinga),Indian Subcontinent,Indian,4,1468.39,121.04,101.33,more info,1352
Indian Hot Curried Mangos with Tofu,Indian Subcontinent,Indian,4,1461.52,50.59,120.67,more info,1353
Batata Nu Shak (Potato Curry),Indian Subcontinent,Indian,4,823.72,17.15,29.97,more info,1354
Pixie's Indian Style Halibut,Indian Subcontinent,Indian,2,292.76,2.2,29.37,more info,1355
Jackfruit Curry (Kathal Subzi),Indian Subcontinent,Indian,4,908.69,19.11,20.84,more info,1356
Delicious Chana Masala,Indian Subcontinent,Indian,4,3550.47,182.46,70.28,more info,1357
Chana Masala (Chickpeas and Tomatoes),Indian Subcontinent,Indian,4,3501.1,137.74,152.12,more info,1358
Cauliflower and Potato Stir-Fry - East Indian Recipe,Indian Subcontinent,Indian,4,454.18,3.18,43.5,more info,1359
Mal's Samosa Quesadillas with Curried Cabbage and Chickpeas,Indian Subcontinent,Indian,8,2906.3,106.75,36.39,more info,1360
Tofu Masala,Indian Subcontinent,Indian,3,1395.06,66.29,33.1,more info,1361
Bengaladumpa Vepudu (Potato Stir-Fry),Indian Subcontinent,Indian,4,366.22,10.04,1.07,more info,1362
Matar Paneer,Indian Subcontinent,Indian,4,930.55,53.29,45.29,more info,1363
Potatoes in Spicy Peanut and Sesame Paste,Indian Subcontinent,Indian,5,893.22,16.21,78.5,more info,1364
Pav Bhaji,Indian Subcontinent,Indian,4,1320.43,18.39,114.59,more info,1365
Aloo Gobi,Indian Subcontinent,Indian,6,373.08,0.85,41.92,more info,1366
Spinach and Tomato Dal (Indian Lentil Soup),Indian Subcontinent,Indian,4,1212.59,58.87,47.85,more info,1367
Vendakka Paalu,Indian Subcontinent,Indian,2,997.15,10.85,85.4,more info,1368
Aviyal,Indian Subcontinent,Indian,4,894.61,35.63,33.76,more info,1369
Indian Dahl with Spinach,Indian Subcontinent,Indian,4,1672.88,92.9,52.62,more info,1370
Shahi Paneer (Royal Cheese),Indian Subcontinent,Indian,4,720.66,33.8,43.07,more info,1371
Punjabi Sukha Urad Dal,Indian Subcontinent,Indian,4,125.04,4.46,0.69,more info,1372
Vegetable Masala,Indian Subcontinent,Indian,4,449.53,14.9,16.9,more info,1373
Shahi Paneer,Indian Subcontinent,Indian,4,780.26,43.46,33.74,more info,1374
Paneer Tikka Masala,Indian Subcontinent,Indian,6,959.85,64.44,48.03,more info,1375
Alu Baigan,Indian Subcontinent,Indian,4,612.75,9.32,57.5,more info,1376
Rosy's Palak Paneer,Indian Subcontinent,Indian,4,642.69,57.58,18.6,more info,1377
Easy Veggie Samosas,Indian Subcontinent,Indian,9,7707.87,239.53,351.14,more info,1378
Palak Paneer (Indian Spinach and Paneer),Indian Subcontinent,Indian,2,551.56,28.7,39.36,more info,1379
Cabbage Koora,Indian Subcontinent,Indian,4,140.01,2.94,7.02,more info,1380
Vegetable Shepherd's Pie with Baked Beans,Indian Subcontinent,Indian,12,667.6,25.37,47.36,more info,1381
Bhindi Subzi (Okra Stir-Fry),Indian Subcontinent,Indian,4,580.07,16.05,30.57,more info,1382
Kale and Spinach Saag,Indian Subcontinent,Indian,4,649.09,47.84,20.1,more info,1383
Yellow Tarka Dal,Indian Subcontinent,Indian,4,881.04,48.41,17.37,more info,1384
Indian Chickpeas in Tea,Indian Subcontinent,Indian,6,4128.0,187.64,110.94,more info,1385
Poori Aloo Koora,Indian Subcontinent,Indian,4,442.12,19.34,3.28,more info,1386
Sambar,Indian Subcontinent,Indian,4,164.64,3.47,12.88,more info,1387
Paneer Butter Masala,Indian Subcontinent,Indian,4,1546.96,37.16,136.8,more info,1388
Nimakayya Poori Koora,Indian Subcontinent,Indian,4,339.18,16.37,3.11,more info,1389
Gujarati Kadhi,Indian Subcontinent,Indian,4,531.31,20.48,31.03,more info,1390
Indian Eggplant - Bhurtha,Indian Subcontinent,Indian,4,340.04,4.2,28.24,more info,1391
Beetroot Aloo Koora,Indian Subcontinent,Indian,4,317.51,1.24,34.52,more info,1392
Aloo Palak,Indian Subcontinent,Indian,6,534.42,12.36,29.22,more info,1393
Indian Matar Paneer (Cottage Cheese and Peas),Indian Subcontinent,Indian,4,2670.96,130.15,139.53,more info,1394
Moong Dal with Spinach,Indian Subcontinent,Indian,4,147.12,1.3,14.91,more info,1395
Palak Paneer,Indian Subcontinent,Indian,6,2594.91,128.45,139.74,more info,1396
Aloo Gobhi,Indian Subcontinent,Indian,4,401.01,6.24,28.92,more info,1397
Slow Cooker Mild Curry Split Black Lentils,Indian Subcontinent,Indian,8,272.44,3.04,22.27,more info,1398
Easy Masoor Daal,Indian Subcontinent,Indian,4,863.83,46.64,22.97,more info,1399
Bangaladumpa (Potato) Upma Koora,Indian Subcontinent,Indian,4,463.58,13.07,1.72,more info,1400
Paneer Jalfrazie,Indian Subcontinent,Indian,4,1507.23,107.67,77.3,more info,1401
Cauliflower and Tofu Masala,Indian Subcontinent,Indian,4,639.6,27.65,27.96,more info,1402
Sundal,Indian Subcontinent,Indian,4,1013.43,43.61,25.05,more info,1403
Indian Cauliflower,Indian Subcontinent,Indian,5,636.0,7.9,55.62,more info,1404
Spiced Moong Beans,Indian Subcontinent,Indian,8,440.31,8.27,29.99,more info,1405
Aloo Phujia,Indian Subcontinent,Indian,4,972.98,15.33,56.28,more info,1406
Doodhi Chana,Indian Subcontinent,Indian,6,425.46,21.65,6.71,more info,1407
Easy Palak Paneer,Indian Subcontinent,Indian,6,929.52,58.07,49.07,more info,1408
Green Pea Poulourie,Indian Subcontinent,Indian,12,41.89,1.51,0.93,more info,1409
Black Chana with Potato,Indian Subcontinent,Indian,6,431.26,2.39,41.51,more info,1410
Quick Indian Vegetarian Cottage Cheese Breakfast,Indian Subcontinent,Indian,4,1027.94,74.6,55.0,more info,1411
Easy Indian-Style Pumpkin Curry,Indian Subcontinent,Indian,4,588.48,13.02,27.73,more info,1412
Geeta Auntie's Potato (and Vegetable) Bhaji,Indian Subcontinent,Indian,2,221.14,3.49,14.28,more info,1413
Alicia's Aloo Gobi,Indian Subcontinent,Indian,4,2626.93,76.74,162.1,more info,1414
Anapakaya Paala Koora,Indian Subcontinent,Indian,4,297.57,3.15,30.73,more info,1415
Chana Masala,Indian Subcontinent,Indian,4,1213.32,65.17,19.57,more info,1416
Aloo Matar,Indian Subcontinent,Indian,4,672.89,7.75,55.63,more info,1417
Spicy Indian Dahl,Indian Subcontinent,Indian,6,1368.21,62.81,36.63,more info,1418
Tomato Onion Koora,Indian Subcontinent,Indian,4,510.67,21.57,4.28,more info,1419
Moong Dal,Indian Subcontinent,Indian,6,118.75,1.74,9.83,more info,1420
Sooji Upma,Indian Subcontinent,Indian,4,1355.57,47.96,5.22,more info,1421
Vegetarian Keema Matar with Cucumber Raita,Indian Subcontinent,Indian,4,149.71,7.29,1.58,more info,1422
Authentic Saag Paneer,Indian Subcontinent,Indian,4,844.7,51.37,49.41,more info,1423
"Indian-Style Rice with Cashews, Raisins and Turmeric",Indian Subcontinent,Indian,6,1364.84,22.74,105.57,more info,1424
Quinoa Pilau,Indian Subcontinent,Indian,4,470.15,2.24,45.39,more info,1425
Aaku Pappu (Dal with Greens),Indian Subcontinent,Indian,4,29.18,1.3,1.3,more info,1426
Indian Chickpeas,Indian Subcontinent,Indian,6,2588.77,126.11,63.97,more info,1427
Quick and Easy Spinach Rice (Palak Rice),Indian Subcontinent,Indian,4,1942.44,51.13,19.22,more info,1428
Indian Saag,Indian Subcontinent,Indian,6,999.5,50.48,63.17,more info,1429
Gobi Aloo (Indian Style Cauliflower with Potatoes),Indian Subcontinent,Indian,4,250.67,9.57,15.55,more info,1430
Indian Rice (Pulao),Indian Subcontinent,Indian,16,1239.82,14.1,114.48,more info,1431
Indian Sabji Recipe,Indian Subcontinent,Indian,4,286.68,1.77,30.15,more info,1432
Indian Curry Potato Fries,Indian Subcontinent,Indian,5,1900.21,0.93,218.55,more info,1433
Indian Lentils and Spinach,Indian Subcontinent,Indian,8,462.65,39.09,21.88,more info,1434
Easy Curry Rice,Indian Subcontinent,Indian,5,1411.92,29.08,5.08,more info,1435
Charred Eggplant Raita,Indian Subcontinent,Indian,8,254.76,13.65,12.11,more info,1436
South Indian Red Amaranth with Onions and Garlic,Indian Subcontinent,Indian,6,529.8,6.39,44.42,more info,1437
Quinoa Biryani,Indian Subcontinent,Indian,4,524.37,13.06,22.7,more info,1438
Easy Curried Cauliflower,Indian Subcontinent,Indian,6,621.92,22.13,44.99,more info,1439
Vegetable Koftas,Indian Subcontinent,Indian,4,1004.1,32.94,43.34,more info,1440
Curried Cumin Potatoes,Indian Subcontinent,Indian,8,1128.79,183.11,35.05,more info,1441
Quick and Easy Indian-Style Okra,Indian Subcontinent,Indian,6,715.19,3.35,73.56,more info,1442
Lemon Lentil Rice,Indian Subcontinent,Indian,4,190.16,2.6,15.12,more info,1443
Dal Makhani (Indian Lentils),Indian Subcontinent,Indian,6,1276.84,32.29,104.75,more info,1444
Kadai Bhindi (Indian style Okra with Bell Peppers),Indian Subcontinent,Indian,4,2307.78,13.55,234.08,more info,1445
Indian-Influenced Zucchini Onion Pepper Latkes,Indian Subcontinent,Indian,12,1264.22,49.09,77.64,more info,1446
Tampa Coconut Cilantro Rice,Indian Subcontinent,Indian,4,1161.34,12.8,119.23,more info,1447
Indian Tomato Rice,Indian Subcontinent,Indian,6,826.39,6.87,74.04,more info,1448
Coconut Curry Cabbage,Indian Subcontinent,Indian,8,915.3,12.76,84.7,more info,1449
Bangan ka Bhurta (Indian Eggplant),Indian Subcontinent,Indian,4,87.99,1.51,4.78,more info,1450
Indian-Style Corn on the Cob in Onion and Yogurt Sauce,Indian Subcontinent,Indian,4,712.73,11.15,63.12,more info,1451
Khara Pongal,Indian Subcontinent,Indian,6,1026.59,25.51,21.5,more info,1452
Tomato Bhath (Tomato Rice),Indian Subcontinent,Indian,8,2652.36,66.52,27.94,more info,1453
Turnip with Coconut,Indian Subcontinent,Indian,4,339.25,3.02,29.83,more info,1454
Spiced Chickpeas (Chole),Indian Subcontinent,Indian,4,2720.11,130.2,65.18,more info,1455
Kiwi Raita,Indian Subcontinent,Indian,6,154.43,8.76,8.23,more info,1456
Exotic Indian Tangy Rice,Indian Subcontinent,Indian,6,426.43,9.94,36.49,more info,1457
Indian Peas And Cauliflower,Indian Subcontinent,Indian,4,628.25,17.73,44.55,more info,1458
Capsicum Zunka,Indian Subcontinent,Indian,4,373.02,12.83,17.93,more info,1459
Peanut Rice,Indian Subcontinent,Indian,4,416.25,18.9,35.96,more info,1460
Aloo Gobi ki Subzi (Potatoes and Cauliflower),Indian Subcontinent,Indian,2,374.51,0.46,41.19,more info,1461
Chole Saag,Indian Subcontinent,Indian,4,1737.66,87.03,56.18,more info,1462
"Indian Carrots, Peas and Potatoes",Indian Subcontinent,Indian,6,704.53,4.1,70.86,more info,1463
Jeera (Cumin) Rice,Indian Subcontinent,Indian,2,238.4,0.18,27.43,more info,1464
Curried Corn,Indian Subcontinent,Indian,4,748.49,20.79,47.97,more info,1465
Paneer (Home Made),Indian Subcontinent,Indian,4,626.4,31.32,32.44,more info,1466
Best Potatoes Ever!,Indian Subcontinent,Indian,4,200.76,9.95,2.07,more info,1467
