Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g),recipe_key
ginger root,1,tablespoon,grated,4.8,1.06,0.1,0.04,1091
tomato paste,1,tablespoon,,13.12,3.02,0.69,0.07,1091
chicken thigh,1,pound,skinless boneless cut,1993.2,3.57,43.39,200.36,1091
potato,2,,cut,-,-,-,-,1091
tomato,2,cans,diced drained,124.13,27.52,6.47,1.07,1091
chicken broth,1 1/2,cups,,117.18,2.83,16.7,3.93,1091
wine vinegar,2,tablespoons,,5.66,0.08,0.01,0,1091
bay leaf,1,,,-,-,-,-,1091
salt black pepper,to taste,,,-,-,-,-,1091
vegetable oil,5,teaspoons,,195.38,0,0,22.66,1092
red chile pepper,7,,chopped,-,-,-,-,1092
tomato,5,,chopped,201.04,43.44,9.82,2.23,1092
chicken breast,4,,boneless cut,3120.71,0,378.29,167.82,1092
yogurt,2,cups,,298.9,22.83,17,15.92,1093
garam masala,3,tablespoons,,-,-,-,-,1093
chicken breast,2,pounds,boneless skinless,1560.35,0,189.14,83.91,1093
pita bread,6,,,-,-,-,-,1093
ginger,1,teaspoon,ground,1.6,0.35,0.03,0.01,1094
garlic,2,tablespoons,crushed,25.33,5.62,1.08,0.08,1094
turmeric,2,teaspoons,ground,18.72,4.02,0.58,0.19,1094
yogurt,1/4,cup,,37.36,2.85,2.12,1.99,1094
chicken,1,,cut,-,-,-,-,1094
chicken breast half,1 3/4,pounds,skinless boneless cubed,706.06,0,157.08,3.96,1095
lemon juice,1,tablespoon,,3.35,1.05,0.05,0.03,1095
chili powder,1,tablespoon,,22.56,3.97,1.07,1.14,1095
salt,to taste,,,-,-,-,-,1095
yogurt,1,cup,,149.45,11.41,8.5,7.96,1095
salt,to taste,,,-,-,-,-,1095
garlic paste,2,tablespoons,,706.06,0,157.08,3.96,1095
garam masala,1/2,tablespoon,,706.06,0,157.08,3.96,1095
butter,2,tablespoons,melted,171,7.85,5.34,14.4,1095
chili powder,1,tablespoon,,22.56,3.97,1.07,1.14,1095
ginger paste,2,tablespoons,,706.06,0,157.08,3.96,1095
lemon juice,2,tablespoons,,3.35,1.05,0.05,0.03,1095
olive oil,2,tablespoons,,238.68,0,0,27,1095
butter,1,tablespoon,,171,7.85,5.34,14.4,1095
garam masala,1,tablespoon,,706.06,0,157.08,3.96,1095
ginger paste,1,tablespoon,,706.06,0,157.08,3.96,1095
garlic,1,tablespoon,chopped,12.66,2.81,0.54,0.04,1095
green chile pepper,1,tablespoon,chopped,3.75,0.88,0.18,0.01,1095
tomato puree,2,cups,,190,44.9,8.25,1.05,1095
chili powder,1,tablespoon,,22.56,3.97,1.07,1.14,1095
salt,to taste,,,-,-,-,-,1095
water,1,cup,,0,0,0,0,1095
honey,1,tablespoon,,-,-,-,-,1095
fenugreek leaf,1/2,teaspoon,,706.06,0,157.08,3.96,1095
heavy cream,1,cup,,408,3.28,3.4,43.29,1095
almond,6,,,11562.72,0,0,1308,1096
jalapeno pepper,6,,seeded chopped,9.78,2.19,0.3,0.12,1096
garlic,8,cloves,,35.76,7.93,1.52,0.12,1096
ginger root,1,inch,peeled,-,-,-,-,1096
cilantro,1,cup,chopped,3.68,0.58,0.34,0.08,1096
salt,to taste,,,-,-,-,-,1096
lemon,1,,juiced,1.11,0.35,0.01,0.01,1096
heavy cream,1/2,cup,,204,1.64,1.7,21.64,1096
chicken breast half,2,pounds,skinless boneless cut,806.93,0,179.52,4.53,1096
butter,2,tablespoons,,171,7.85,5.34,14.4,1096
olive oil,3,tablespoons,,358.02,0,0,40.5,1097
onion,1,,chopped,28,6.53,0.77,0.07,1097
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,1097
curry powder,3,tablespoons,,61.42,10.55,2.7,2.64,1097
cinnamon,1,teaspoon,ground,-,-,-,-,1097
paprika,1,teaspoon,,6.48,1.24,0.32,0.29,1097
bay leaf,1,,,-,-,-,-,1097
ginger root,1/2,teaspoon,grated,0.8,0.17,0.01,0,1097
white sugar,1/2,teaspoon,,8.12,2.09,0,0,1097
salt,to taste,,,-,-,-,-,1097
chicken breast half,2,,skinless boneless cut,-,-,-,-,1097
tomato paste,1,tablespoon,,13.12,3.02,0.69,0.07,1097
yogurt,1,cup,,149.45,11.41,8.5,7.96,1097
coconut milk,3/4,cup,,414,9.97,4.12,42.91,1097
lemon,1/2,,juiced,0.55,0.17,0,0,1097
cayenne pepper,1/2,teaspoon,,2.86,0.5,0.1,0.15,1097
nonfat yogurt,1/3,cup,,-,-,-,-,1098
tandoori masala powder,1,tablespoon,,-,-,-,-,1098
chicken thigh,1 1/2,pounds,boneless skinless cut,2989.8,5.36,65.09,300.54,1098
onion,1/2,,chopped,32,7.47,0.88,0.08,1098
ginger,1,piece,,-,-,-,-,1098
garlic,1,clove,,4.47,0.99,0.19,0.01,1098
water,2,tablespoons,,0,0,0,0,1098
cooking oil,3,tablespoons,divided,360.67,0,0,40.8,1098
garam masala,2,teaspoons,,-,-,-,-,1098
indian chili powder,1/4,teaspoon,,-,-,-,-,1098
tomato sauce,1,cup,,-,-,-,-,1098
half,1,cup,,-,-,-,-,1098
butter,2,tablespoons,,171,7.85,5.34,14.4,1098
fenugreek leaf,1,teaspoon,,-,-,-,-,1098
salt,1,teaspoon,,-,-,-,-,1098
onion,1,,chopped,60,14.01,1.65,0.15,1099
garlic,4,cloves,chopped,17.88,3.96,0.76,0.06,1099
ginger root,1,slice,,1.76,0.39,0.04,0.01,1099
olive oil,1,tablespoon,,119.34,0,0,13.5,1099
cumin,2,teaspoons,ground,15.75,1.85,0.74,0.93,1099
turmeric,1,teaspoon,ground,9.36,2.01,0.29,0.09,1099
salt,1,teaspoon,,-,-,-,-,1099
black pepper,1,teaspoon,ground,5.77,1.47,0.23,0.07,1099
cardamom,1/2,teaspoon,ground,3.11,0.68,0.1,0.06,1099
cinnamon,1,piece,,-,-,-,-,1099
clove,1/4,teaspoon,ground,1.43,0.34,0.03,0.06,1099
bay leaf,2,,,-,-,-,-,1099
nutmeg,1/4,teaspoon,ground,2.88,0.27,0.03,0.19,1099
chicken thigh,6,skinless,,-,-,-,-,1099
tomato,1,can,peeled crushed,62.06,13.76,3.23,0.53,1099
water,3,tablespoons,,0,0,0,0,1100
garlic,6,cloves,,26.82,5.95,1.14,0.09,1100
serrano chile pepper,2,,stemmed,-,-,-,-,1100
ginger,1,piece,peeled sliced,-,-,-,-,1100
ghee butter,1/4,cup,clarified,-,-,-,-,1100
chicken drumstick,2,pounds,,3986.4,7.15,86.79,400.72,1100
salt black pepper,to taste,,ground,-,-,-,-,1100
white onion,1,,sliced,60,14.01,1.65,0.15,1100
fenugreek leaf,1,tablespoon,,-,-,-,-,1100
coriander,2,teaspoons,ground,10.72,1.97,0.44,0.63,1100
garam masala,1,teaspoon,,-,-,-,-,1100
turmeric,1/2,teaspoon,ground,4.68,1,0.14,0.04,1100
plum tomato,3,,grated,-,-,-,-,1100
milk,3/4,cup,,111.63,8.74,5.76,5.98,1100
heavy whipping cream,1/2,cup,,204,1.64,1.7,21.64,1100
cilantro,1/3,cup,chopped,1.22,0.19,0.11,0.02,1100
ghee butter,2,tablespoons,clarified,-,-,-,-,1101
onion,1,,diced,64,14.94,1.76,0.16,1101
garlic,4,cloves,minced,17.88,3.96,0.76,0.06,1101
curry powder,1 1/2,tablespoons,,30.71,5.27,1.35,1.32,1101
cumin,2 1/2,teaspoons,ground,19.68,2.32,0.93,1.16,1101
ginger root,2,teaspoons,minced,3.2,0.71,0.07,0.03,1101
salt,1,1/2 teaspoons,,-,-,-,-,1101
turmeric,1 1/4,teaspoons,ground,11.7,2.51,0.36,0.12,1101
cardamom,3/4,teaspoon,ground,4.66,1.02,0.16,0.1,1101
cinnamon,1/4,teaspoon,ground,-,-,-,-,1101
cayenne pepper,1/4,teaspoon,,1.43,0.25,0.05,0.07,1101
nutmeg,1/8,teaspoon,ground,1.44,0.13,0.01,0.09,1101
chicken breast half,2,,skinless boneless cubed,-,-,-,-,1101
carrot,3,,cubed,157.44,36.78,3.57,0.92,1101
coconut milk,1,can,,827.58,19.93,8.23,85.78,1101
cashew,1/4,cup,ground,-,-,-,-,1101
tomato paste,2,tablespoons,,26.24,6.05,1.38,0.15,1101
head cauliflower,1,,chopped,-,-,-,-,1101
pea,1,cup,,41.16,7.39,2.74,0.19,1101
red bell pepper,1,,chopped,-,-,-,-,1101
heavy whipping cream,1/2,cup,,204,1.64,1.7,21.64,1101
spicy pork sausage,2,pounds,,806.93,0,179.52,4.53,1102
olive oil,1/4,cup,,477.36,0,0,54,1102
cumin,3,tablespoons,ground,67.5,7.96,3.2,4,1102
curry powder,1,tablespoon,,20.47,3.51,0.9,0.88,1102
garlic powder,1 1/2,teaspoons,,15.39,3.38,0.76,0.03,1102
ginger,3/4,teaspoon,ground,1.2,0.26,0.02,0.01,1102
salt,3/4,teaspoon,,-,-,-,-,1102
cayenne pepper,1/2,teaspoon,,2.86,0.5,0.1,0.15,1102
lamb loin chop,8,,,806.93,0,179.52,4.53,1102
yogurt,1/2,cup,,74.72,5.7,4.25,3.98,1102
red wine vinegar,3,tablespoons,,8.49,0.12,0.01,0,1102
chicken drumstick,12,,,23918.4,42.94,520.76,2404.34,1102
chicken,2,pounds,cut,1949.33,0,168.64,136.54,1103
salt,1,teaspoon,,-,-,-,-,1103
lemon,1,,juiced,1.11,0.35,0.01,0.01,1103
yogurt,1 1/4,cups,,186.81,14.27,10.62,9.95,1103
onion,1/2,,chopped,32,7.47,0.88,0.08,1103
garlic,1,clove,minced,4.47,0.99,0.19,0.01,1103
ginger root,1,teaspoon,grated,1.6,0.35,0.03,0.01,1103
garam masala,2,teaspoons,,-,-,-,-,1103
cayenne pepper,1,teaspoon,,5.72,1.01,0.21,0.31,1103
yellow food coloring,1,teaspoon,,-,-,-,-,1103
red food coloring,1,teaspoon,,-,-,-,-,1103
cilantro,2,teaspoons,chopped,0.15,0.02,0.01,0,1103
lemon,1,,cut,1.28,0.41,0.04,0.01,1103
marinade,,,,-,-,-,-,1104
black peppercorn,10,,,-,-,-,-,1104
clove,6,,,34.52,8.25,0.75,1.63,1104
cardamom pod,5,,,-,-,-,-,1104
cinnamon,2,,,-,-,-,-,1104
star anise pod,2,,,-,-,-,-,1104
kala jeera black cumin seed,1/2,teaspoon,,-,-,-,-,1104
cilantro leaf,1,bunch,,-,-,-,-,1104
mint leaf,1,bunch,,-,-,-,-,1104
yogurt,1,cup,,149.45,11.41,8.5,7.96,1104
lemon juice,2,teaspoons,,2.23,0.7,0.03,0.02,1104
ginger garlic paste,2,teaspoons,,-,-,-,-,1104
chile powder,2,teaspoons,,15.22,2.68,0.72,0.77,1104
turmeric,1/4,teaspoon,ground,2.34,0.5,0.07,0.02,1104
chicken thigh,1,pound,,1993.2,3.57,43.39,200.36,1104
biryani,,,,-,-,-,-,1104
water,3 1/2,cups,,0,0,0,0,1104
basmati rice,2 1/3,cups,,-,-,-,-,1104
bay leaf,4,,divided,-,-,-,-,1104
milk,1/2,cup,,74.42,5.83,3.84,3.98,1104
saffron thread,1,pinch,,-,-,-,-,1104
ghee butter,1/4,cup,clarified divided,-,-,-,-,1104
onion,2,,sliced,128,29.88,3.52,0.32,1104
green chile pepper,2,,chopped,179.91,42.54,8.99,0.89,1104
vegetable oil,3,tablespoons,,351.69,0,0,40.8,1105
onion,1,,chopped,44,10.27,1.21,0.11,1105
garlic,3,cloves,sliced,13.41,2.97,0.57,0.04,1105
ginger root,1,piece,grated,-,-,-,-,1105
cinnamon,1,piece,,-,-,-,-,1105
bay leaf,3,,,-,-,-,-,1105
brown sugar,1,tablespoon,,34.2,8.82,0.01,0,1105
coriander seed,1,teaspoon,,5.36,0.98,0.22,0.31,1105
fenugreek seed,1,teaspoon,,11.95,2.15,0.85,0.23,1105
clove,6,,,34.52,8.25,0.75,1.63,1105
cardamom pod,6,,,806.93,0,179.52,4.53,1105
red pepper flake,1,teaspoon,crushed,806.93,0,179.52,4.53,1105
black peppercorn,10,,,806.93,0,179.52,4.53,1105
chicken breast half,2,pounds,skinless boneless diced,806.93,0,179.52,4.53,1105
curry powder,3,tablespoons,,61.42,10.55,2.7,2.64,1105
water,1 1/2,cups,,0,0,0,0,1105
lemon juice,1,tablespoon,,3.35,1.05,0.05,0.03,1105
salt pepper,to taste,,,806.93,0,179.52,4.53,1105
cream,1/2,cup,,396,7.98,4.35,41.61,1105
dijon mustard,1 1/2,cups,,-,-,-,-,1106
worcestershire sauce,2/3,cup,,143,35.67,0,0,1106
chili powder,6,tablespoons,,135.36,23.85,6.46,6.85,1106
cumin,1/4,cup,ground,94.5,11.14,4.48,5.61,1106
ginger,2,tablespoons,ground,9.6,2.13,0.21,0.09,1106
turmeric,1,teaspoon,ground,9.36,2.01,0.29,0.09,1106
chicken,10,pounds,bone,9656.02,5.89,830.96,672.29,1106
garlic,6,cloves,minced,26.82,5.95,1.14,0.09,1106
chicken thigh,10,,boneless skinless,19932,35.78,433.97,2003.61,1107
berry cranberry sauce,2,cans,,403.46,0,89.76,2.26,1107
curry powder,2,teaspoons,,13,2.23,0.57,0.56,1107
mcintosh apple,1,,peeled cored cubed,403.46,0,89.76,2.26,1107
raisin,1,cup,,498.3,131.2,5.59,0.75,1107
olive oil,2,teaspoons,,79.56,0,0,9,1108
jalapeno pepper,1,,minced,1.63,0.36,0.05,0.02,1108
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,1108
salt,1,1/2 teaspoons,,-,-,-,-,1108
cumin,1 1/2,teaspoons,ground,11.81,1.39,0.56,0.7,1108
black pepper,1 1/2,teaspoons,ground,8.65,2.2,0.35,0.11,1108
cardamom,1 1/2,teaspoons,ground,9.33,2.05,0.32,0.2,1108
coriander,1 1/2,teaspoons,ground,8.04,1.48,0.33,0.47,1108
cinnamon,1,teaspoon,ground,-,-,-,-,1108
paprika,1,teaspoon,,6.48,1.24,0.32,0.29,1108
clove,1/2,teaspoon,ground,2.87,0.68,0.06,0.13,1108
nutmeg,1/2,teaspoon,ground,5.77,0.54,0.06,0.39,1108
tomato sauce,1,can,,-,-,-,-,1108
tomato paste,1/2,can,,69.7,16.07,3.67,0.39,1108
milk,2/3,cup,,99.22,7.77,5.12,5.31,1108
chicken breast,3,,cooked diced,2340.53,0,283.72,125.87,1108
cilantro,1,teaspoon,chopped,0.07,0.01,0,0,1108
chicken breast meat,1 1/2,pounds,diced,-,-,-,-,1109
onion,3/4,cup,chopped,48,11.2,1.32,0.12,1109
celery,1 1/4,cups,chopped,20.2,3.74,0.87,0.21,1109
granny smith apple,1 3/4,cups,chopped,110.63,25.96,0.83,0.36,1109
chicken broth,1,cup,,78.12,1.89,11.13,2.62,1109
nonfat milk,1/4,cup,,20.82,3.03,2.06,0.04,1109
curry powder,1,tablespoon,,20.47,3.51,0.9,0.88,1109
paprika,1/4,teaspoon,,1.62,0.31,0.08,0.07,1109
quinoa,1/3,cup,,-,-,-,-,1109
chicken,1,,,-,-,-,-,1110
salt,1/2,teaspoon,,-,-,-,-,1110
olive oil,2,tablespoons,,238.68,0,0,27,1110
onion,1,,sliced,64,14.94,1.76,0.16,1110
black pepper,1/4,teaspoon,ground,1.44,0.36,0.05,0.01,1110
garlic,1,tablespoon,crushed,12.66,2.81,0.54,0.04,1110
tomato paste,1/2,tablespoon,,6.56,1.51,0.34,0.03,1110
garam masala,1/2,teaspoon,,-,-,-,-,1110
curry powder,1,teaspoon,,6.5,1.11,0.28,0.28,1110
celery salt,1/4,teaspoon,,-,-,-,-,1110
salt,1/4,teaspoon,,-,-,-,-,1110
water,1/4,cup,,0,0,0,0,1110
chicken,1,,,-,-,-,-,1111
turmeric,1/2,teaspoon,ground,4.68,1,0.14,0.04,1111
coriander,1,tablespoon,ground,14.9,2.74,0.61,0.88,1111
black pepper,2,teaspoons,,11.54,2.94,0.47,0.15,1111
chili powder,1 1/2,tablespoons,,33.84,5.96,1.61,1.71,1111
salt,1,1/2 teaspoons,,-,-,-,-,1111
vegetable oil,3,tablespoons,,351.69,0,0,40.8,1111
mustard seed,1,teaspoon,,10.16,0.56,0.52,0.72,1111
fenugreek seed,1,teaspoon,,11.95,2.15,0.85,0.23,1111
onion,1,,sliced,60,14.01,1.65,0.15,1111
cumin seed,1 1/2,teaspoons,,11.81,1.39,0.56,0.7,1111
curry,3,leaves,,-,-,-,-,1111
ginger paste,2,teaspoons,,-,-,-,-,1111
garlic paste,1,teaspoon,,-,-,-,-,1111
water,2,cups,,0,0,0,0,1111
coconut milk,1,cup,,552,13.29,5.49,57.21,1111
lime juice,2,tablespoons,,7.56,2.54,0.12,0.02,1111
chicken thigh,3/4,pound,skinless,1494.9,2.68,32.54,150.27,1112
peach,1,can,sliced drained,90.04,22.02,2.1,0.57,1112
apricot half,1,can,drained,-,-,-,-,1112
white vinegar,1,tablespoon,,2.68,0,0,0,1112
pistachio nut,1/2,cup,shelled,344.4,16.7,12.39,27.87,1112
curry powder,1,teaspoon,,6.5,1.11,0.28,0.28,1112
garam masala,1,teaspoon,,-,-,-,-,1112
cooking oil,1/4,cup,,-,-,-,-,1113
chicken,1,,cut discarded,-,-,-,-,1113
cumin seed,1,teaspoon,,7.87,0.92,0.37,0.46,1113
cinnamon,1,,,-,-,-,-,1113
black cardamom pod,1,,,-,-,-,-,1113
clove,4,,,23.01,5.5,0.5,1.09,1113
onion,1,,sliced,60,14.01,1.65,0.15,1113
ginger garlic paste,1,tablespoon,,-,-,-,-,1113
green chile pepper lengthwise,4,halved,,-,-,-,-,1113
spinach,1/2,cup,chopped,3.45,0.54,0.42,0.05,1113
fenugreek leaf,1/2,cup,chopped,-,-,-,-,1113
fenugreek leaf,1,tablespoon,,-,-,-,-,1113
turmeric,1/2,teaspoon,ground,4.68,1,0.14,0.04,1113
red pepper,1/2,teaspoon,ground,0.62,0.13,0.02,0,1113
salt,to taste,,,-,-,-,-,1113
water,1,cup,,0,0,0,0,1113
garam masala,1/2,teaspoon,,-,-,-,-,1113
tomato,1,can,diced drained,62.06,13.76,3.23,0.53,1114
tomato paste,2,tablespoons,,26.24,6.05,1.38,0.15,1114
ginger,2,tablespoons,grated,34.84,7.44,0.93,0.44,1114
curry powder,1,tablespoon,,20.47,3.51,0.9,0.88,1114
kosher salt,1/2,teaspoon,,-,-,-,-,1114
black pepper,,,ground,-,-,-,-,1114
head cauliflower,1,,cored cut,-,-,-,-,1114
chicken thigh,1 1/2,pounds,skinless boneless cut,2989.8,5.36,65.09,300.54,1114
onion,1,,chopped,64,14.94,1.76,0.16,1114
raisin,1/4,cup,,124.57,32.8,1.39,0.18,1114
cilantro,1/2,cup,chopped,1.84,0.29,0.17,0.04,1114
vegetable oil,2,teaspoons,,78.15,0,0,9.06,1115
onion,1,,chopped,64,14.94,1.76,0.16,1115
chicken breast half,1/2,pound,skinless boneless cut,201.73,0,44.88,1.13,1115
tomato paste,1,teaspoon,,4.51,1.04,0.23,0.02,1115
cinnamon,1,piece,,-,-,-,-,1115
ginger root,1,piece,peeled minced,-,-,-,-,1115
garlic,1,clove,minced,4.47,0.99,0.19,0.01,1115
coriander,1,teaspoon,ground,5.36,0.98,0.22,0.31,1115
turmeric,1/4,teaspoon,ground,2.34,0.5,0.07,0.02,1115
garam masala,1/4,teaspoon,,201.73,0,44.88,1.13,1115
cayenne pepper,1/4,teaspoon,ground,1.43,0.25,0.05,0.07,1115
bay leaf,1,,,-,-,-,-,1115
spinach,1,cup,chopped,6.9,1.08,0.85,0.11,1115
yogurt,2,teaspoons,,6.22,0.47,0.35,0.33,1115
milk,1/2,cup,skim,276,6.64,2.74,28.6,1115
mango,2,,peeled sliced divided,-,-,-,-,1116
coconut milk,1,can,,827.58,19.93,8.23,85.78,1116
vegetable oil,4,teaspoons,,156.3,0,0,18.13,1116
spicy curry paste,4,teaspoons,,353.03,0,78.54,1.98,1116
chicken breast half,14,ounces,skinless boneless cut,353.03,0,78.54,1.98,1116
shallot,4,,sliced,-,-,-,-,1116
english cucumber,1,,seeded sliced,353.03,0,78.54,1.98,1116
curry powder,1/2,teaspoon,,3.25,0.55,0.14,0.14,1117
red pepper flake,1/2,teaspoon,,-,-,-,-,1117
kosher salt,1/2,teaspoon,,-,-,-,-,1117
ginger,1/4,teaspoon,ground,0.4,0.08,0,0,1117
paprika,1/4,teaspoon,,1.62,0.31,0.08,0.07,1117
cinnamon,1/4,teaspoon,ground,-,-,-,-,1117
turmeric,1/4,teaspoon,ground,2.34,0.5,0.07,0.02,1117
water,2,tablespoons,,0,0,0,0,1117
chicken breast half,4,,skinless boneless,-,-,-,-,1117
chicken thigh,1 1/2,pounds,boneless skinless,2989.8,5.36,65.09,300.54,1118
butter,2,tablespoons,,171,7.85,5.34,14.4,1118
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,1118
onion,1,,chopped,28,6.53,0.77,0.07,1118
heinz tomato paste,1,tablespoon,,-,-,-,-,1118
curry paste,2,teaspoons,mild,-,-,-,-,1118
ginger,1,teaspoon,minced,1.6,0.35,0.03,0.01,1118
cinnamon,1,teaspoon,ground,-,-,-,-,1118
tomato,1,cup,drained canned stewed,41.4,9.18,2.16,0.36,1118
heinz tomato ketchup,3/4,cup,,-,-,-,-,1118
yogurt,2/3,cup,,99.63,7.61,5.66,5.3,1118
cream,1/4,cup,,198,3.99,2.17,20.8,1118
lime juice,2,teaspoons,,2.52,0.84,0.04,0,1118
lime zest,1,teaspoon,grated,-,-,-,-,1118
basmati grain rice,Hot,,cooked,-,-,-,-,1118
coriander,,,Chopped,-,-,-,-,1118
yogurt,1,cup,,149.45,11.41,8.5,7.96,1119
lemon juice,1,tablespoon,,3.35,1.05,0.05,0.03,1119
cumin,2,teaspoons,ground,15.75,1.85,0.74,0.93,1119
cinnamon,1,teaspoon,ground,-,-,-,-,1119
cayenne pepper,2,teaspoons,,11.44,2.03,0.43,0.62,1119
black pepper,2,teaspoons,ground,11.54,2.94,0.47,0.15,1119
ginger,1,tablespoon,minced,4.8,1.06,0.1,0.04,1119
salt,1,teaspoon,,-,-,-,-,1119
chicken breast,3,boneless,skinless cut,-,-,-,-,1119
skewer,4,,,-,-,-,-,1119
butter,1,tablespoon,,85.5,3.92,2.67,7.2,1119
garlic,1,clove,minced,4.47,0.99,0.19,0.01,1119
jalapeno pepper,1,,chopped,1.63,0.36,0.05,0.02,1119
cumin,2,teaspoons,ground,15.75,1.85,0.74,0.93,1119
paprika,2,teaspoons,,12.97,2.48,0.65,0.59,1119
salt,1,teaspoon,,-,-,-,-,1119
tomato sauce,1,can,,-,-,-,-,1119
heavy cream,1,cup,,408,3.28,3.4,43.29,1119
cilantro,1/4,cup,chopped,0.92,0.14,0.08,0.02,1119
butter,1,cup,divided,1368,62.85,42.74,115.2,1120
onion,1,,minced,64,14.94,1.76,0.16,1120
garlic,1,tablespoon,minced,12.66,2.81,0.54,0.04,1120
tomato sauce,1,can,,-,-,-,-,1120
heavy cream,3,cups,,1224,9.86,10.22,129.88,1120
salt,2,teaspoons,,-,-,-,-,1120
cayenne pepper,1,teaspoon,,5.72,1.01,0.21,0.31,1120
garam masala,1,teaspoon,,-,-,-,-,1120
chicken breast,1 1/2,pounds,skinless boneless cut,1170.26,0,141.86,62.93,1120
vegetable oil,2,tablespoons,,234.46,0,0,27.2,1120
tandoori masala,2,tablespoons,,-,-,-,-,1120
garam masala,2,teaspoons,,-,-,-,-,1121
tandoori masala powder,2,teaspoons,,-,-,-,-,1121
madras curry powder,2,teaspoons,,-,-,-,-,1121
cumin,1,teaspoon,ground,7.87,0.92,0.37,0.46,1121
cardamom,1/2,teaspoon,ground,3.11,0.68,0.1,0.06,1121
cayenne pepper,1/2,teaspoon,ground,2.86,0.5,0.1,0.15,1121
salt black pepper,to taste,,ground,-,-,-,-,1121
chicken thigh,1 1/2,pounds,boneless skinless cut,2989.8,5.36,65.09,300.54,1121
butter,3,tablespoons,divided,256.5,11.78,8.01,21.6,1121
yellow onion,1,,chopped,114.84,6.83,0.82,9.39,1121
lemon juice,1,tablespoon,,3.35,1.05,0.05,0.03,1121
garlic,4,cloves,minced,17.88,3.96,0.76,0.06,1121
ginger,2,teaspoons,chopped,3.2,0.71,0.07,0.03,1121
tomato puree,1,cup,,95,22.45,4.12,0.52,1121
half,1,cup,,-,-,-,-,1121
yogurt,1/4,cup,,37.36,2.85,2.12,1.99,1121
cashew,1/3,cup,,-,-,-,-,1121
cilantro,1,bunch,,-,-,-,-,1121
chicken,1,,cut,-,-,-,-,1122
ginger paste,1,teaspoon,,-,-,-,-,1122
garlic paste,1,teaspoon,,-,-,-,-,1122
salt,1,teaspoon,,-,-,-,-,1122
vegetable oil,1/2,cup,,939.58,0,0,109,1122
yogurt,1 1/2,cups,,224.17,17.12,12.75,11.94,1122
almond,1/4,cup,ground,481.78,0,0,54.5,1122
cumin,1/2,teaspoon,ground,3.93,0.46,0.18,0.23,1122
coriander,1/2,teaspoon,ground,2.68,0.49,0.11,0.15,1122
turmeric,1/2,teaspoon,ground,4.68,1,0.14,0.04,1122
green chile pepper,6,,mashed,-,-,-,-,1122
cilantro leaf,1,cup,chopped,3.68,0.58,0.34,0.08,1122
mint,1/4,cup,chopped,10.03,1.91,0.75,0.16,1122
coconut,1,cup,shredded,283.2,12.18,2.66,26.79,1122
salt,to taste,,,-,-,-,-,1122
water,1,cup,,0,0,0,0,1122
heavy cream,1/4,cup,,102,0.82,0.85,10.82,1122
yogurt,1/4,cup,,37.36,2.85,2.12,1.99,1123
garam masala,2,teaspoons,,-,-,-,-,1123
paprika,2,teaspoons,,12.97,2.48,0.65,0.59,1123
black pepper,1/2,teaspoon,ground,2.88,0.73,0.11,0.03,1123
salt,1/2,teaspoon,,-,-,-,-,1123
cayenne pepper,1/2,teaspoon,,2.86,0.5,0.1,0.15,1123
coriander,1/2,teaspoon,ground,2.68,0.49,0.11,0.15,1123
chicken breast,1,pound,skinless boneless cut,780.17,0,94.57,41.95,1123
vegetable oil,3,tablespoons,,351.69,0,0,40.8,1123
cumin seed,1,teaspoon,,7.87,0.92,0.37,0.46,1123
onion,1,,chopped,60,14.01,1.65,0.15,1123
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,1123
ginger,1,tablespoon,grated,17.42,3.72,0.46,0.22,1123
green chile pepper,2,,minced,-,-,-,-,1123
rom tomato,2,,diced,-,-,-,-,1123
tomato paste,1/2,cup,,108.24,24.96,5.7,0.62,1123
water,1/4,cup,,0,0,0,0,1123
garam masala,1,teaspoon,,-,-,-,-,1123
coriander,1/2,teaspoon,ground,2.68,0.49,0.11,0.15,1123
turmeric,1/2,teaspoon,ground,4.68,1,0.14,0.04,1123
heavy whipping cream,1/2,cup,,204,1.64,1.7,21.64,1123
salt,1/2,teaspoon,,-,-,-,-,1123
cilantro,1/2,bunch,,-,-,-,-,1123
basmati rice,2,cups,uncooked,1613.87,0,359.04,9.06,1124
water,1,quart,,0,0,0,0,1124
salt,1,teaspoon,,-,-,-,-,1124
onion powder,1,teaspoon,,8.18,1.89,0.24,0.02,1124
olive oil,1,teaspoon,,39.78,0,0,4.5,1124
chicken leg quarter,4,,,1613.87,0,359.04,9.06,1124
onion,1,,chopped,64,14.94,1.76,0.16,1124
jalapeno pepper,2,,seeded chopped,3.26,0.73,0.1,0.04,1124
coconut milk,1,can,,827.58,19.93,8.23,85.78,1124
water,1,cup,,0,0,0,0,1124
tomato green chile,1,can,diced,1613.87,0,359.04,9.06,1124
italian tomato paste,1,can,,1613.87,0,359.04,9.06,1124
cumin,2,tablespoons,ground,45,5.3,2.13,2.67,1124
garam masala,2,tablespoons,,1613.87,0,359.04,9.06,1124
brown mustard seed,1,tablespoon,,1613.87,0,359.04,9.06,1124
cayenne pepper,2,tablespoons,,33.7,6,1.27,1.83,1124
